OBJECTID,COMPKEY,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SE_ANNO_CAD_DATA,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,OVERRIDECOMMENT,BLOCK_URL,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,Shape__Length
7282352,12042,8950,40,89500040,OLIVE WAY BETWEEN 4TH AVE AND 5TH AVE,OLIVE WAY,OLIVE WAY,INSVC,DISTRICT7, ,N,4TH AVE,5TH AVE,1,Principal Arterial, ,400,25,NE,Y,NE,F,334,44,AC/PCC,10/31/2022 12:00:00 AM,,,4TH AVE AND OLIVE WAY,NE,29566,5TH AVE AND OLIVE WAY,SW,29567,1269311.885,227021.4021,System.Byte[],N,N,Y,Downtown,,70,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=08950&StreetSegment=0040,6,ART,N,333.8722153
7282354,13154,10060,210,100600210,THORNDYKE AVE W BETWEEN W CROCKETT ST AND W BOSTON ST,THORNDYKE AVE W,THORNDYKE AVE W,INSVC,DISTRICT7, ,N,W CROCKETT ST,W BOSTON ST,2,Minor Arterial, ,2100,25,NE,N, , ,292,18,AC/PCC,10/31/2022 12:00:00 AM,,,THORNDYKE AVE W AND W CROCKETT ST,NE,27700,THORNDYKE AVE W AND W BOSTON ST,SW,27701,1257108.93,236618.2034,System.Byte[],Y,N,N,Neighborhood Corridor,,40,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=10060&StreetSegment=0210,5,ART,N,292.4072491
7282356,12043,8950,50,89500050,OLIVE WAY BETWEEN 5TH AVE AND 6TH AVE,OLIVE WAY,OLIVE WAY,INSVC,DISTRICT7, ,N,5TH AVE,6TH AVE,1,Principal Arterial, ,500,25,NE,Y,NE,F,322,32,AC/PCC,10/31/2022 12:00:00 AM,PCC,10/29/2017 12:00:00 AM,5TH AVE AND OLIVE WAY,NE,29567,6TH AVE AND OLIVE WAY,SW,29554,1269594.036,227188.9223,System.Byte[],N,N,Y,Downtown,,55,92,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=08950&StreetSegment=0050,1,ART,N,322.397349
7282358,13155,10060,220,100600220,THORNDYKE AVE W BETWEEN W BOSTON ST AND W LYNN ST,THORNDYKE AVE W,THORNDYKE AVE W,INSVC,DISTRICT7, ,N,W BOSTON ST,W LYNN ST,2,Minor Arterial, ,2200,25,NE,N, , ,293,43,AC,10/31/2022 12:00:00 AM,AC/PCC,12/01/2021 00:00,THORNDYKE AVE W AND W BOSTON ST,NE,27701,THORNDYKE AVE W AND W LYNN ST,SW,27607,1257246.132,236876.4818,System.Byte[],Y,N,N,Neighborhood Corridor,,46,45,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=10060&StreetSegment=0220,5,ART,N,292.5098765
7282360,12045,8950,70,89500070,OLIVE WAY BETWEEN 7TH AVE AND HOWELL ST,OLIVE WAY,OLIVE WAY,INSVC,DISTRICT7, ,N,7TH AVE,HOWELL ST,1,Principal Arterial, ,700,25,NE,Y,NE,F,322,41,AC/PCC,10/31/2022 12:00:00 AM,,,7TH AVE AND OLIVE WAY,NE,29553,HOWELL ST AND OLIVE WAY,SW,29869,1270148.345,227516.7783,System.Byte[],N,N,Y,Downtown,,34,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=08950&StreetSegment=0070,3,ART,N,321.6984856
7282362,13157,10060,231,100600231,THORNDYKE AVE W BETWEEN THORNDYKE PL W AND 23RD AVE W,THORNDYKE AVE W,THORNDYKE AVE W,INSVC,DISTRICT7, ,N,THORNDYKE PL W,23RD AVE W,2,Minor Arterial, ,2300,25,NE,N, , ,586,43,AC,10/31/2022 12:00:00 AM,AC/PCC,12/01/2021 00:00,THORNDYKE AVE W AND THORNDYKE PL W,NE,27606,23RD AVE W AND THORNDYKE AVE W,SW,27597,1257493.944,237341.9021,System.Byte[],Y,N,N,Neighborhood Corridor,,46,45,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=10060&StreetSegment=0231,4,ART,N,586.3560213
7282363,12046,8950,80,89500080,OLIVE WAY BETWEEN HOWELL ST AND 9TH AVE,OLIVE WAY,OLIVE WAY,INSVC,DISTRICT7, ,N,HOWELL ST,9TH AVE,1,Principal Arterial, ,800,25,NE,Y,NE,F,322,42,AC/PCC,10/31/2022 12:00:00 AM,,,HOWELL ST AND OLIVE WAY,NE,29869,9TH AVE AND OLIVE WAY,SW,29870,1270425.664,227680.1952,System.Byte[],N,N,Y,Downtown,,31,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=08950&StreetSegment=0080,3,ART,N,322.0759568
7282365,13158,10060,240,100600240,THORNDYKE AVE W BETWEEN 23RD AVE W AND W HALLADAY ST,THORNDYKE AVE W,THORNDYKE AVE W,INSVC,DISTRICT7, ,N,23RD AVE W,W HALLADAY ST,2,Minor Arterial, ,2400,25,NE,N, , ,560,54,AC/PCC,10/31/2022 12:00:00 AM,,,23RD AVE W AND THORNDYKE AVE W,NE,27597,THORNDYKE AVE W AND W HALLADAY ST,SW,27589,1257763.092,237847.9424,System.Byte[],Y,N,N,Neighborhood Corridor,,68,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=10060&StreetSegment=0240,3,ART,N,559.9729417
7282366,12048,8950,100,89500100,OLIVE WAY BETWEEN TERRY AVE AND BOREN AVE,OLIVE WAY,OLIVE WAY,INSVC,DISTRICT7, ,N,TERRY AVE,BOREN AVE,1,Principal Arterial, ,1000,25,NE,Y,NE,F,384,42,AC/PCC,10/10/2017 00:00,,,OLIVE WAY AND TERRY AVE,NE,29866,BOREN AVE AND OLIVE WAY,SW,29865,1270986.259,228011.7456,System.Byte[],N,N,Y,Downtown,,61,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=08950&StreetSegment=0100,3,ART,N,307.4588465
7282368,13159,10060,250,100600250,THORNDYKE AVE W BETWEEN W HALLADAY ST AND 22ND AVE W,THORNDYKE AVE W,THORNDYKE AVE W,INSVC,DISTRICT7, ,N,W HALLADAY ST,22ND AVE W,2,Minor Arterial, ,2500,25,NE,N, , ,316,54,AC/PCC,10/31/2022 12:00:00 AM,,,THORNDYKE AVE W AND W HALLADAY ST,NE,27589,22ND AVE W AND THORNDYKE AVE W,SW,27583,1257968.803,238234.7122,System.Byte[],Y,N,N,Neighborhood Corridor,,68,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=10060&StreetSegment=0250,2,ART,N,316.1729009
